emp_id,cf_idx,p0,p_cf,dp,cost_yuan,dp_per_kyuan,n_changes,Δ_收入水平,Δ_工作匹配度,Δ_工作满意度,Δ_工作机会,Δ_工作压力,Δ_工作氛围
1039,1,0.3402061855670103,0.045662100456621,0.2945440851103893,12068.0,0.024407031877971285,5,318.0,2.0,1.5,2.0,-1.0,0.0
1039,2,0.3402061855670103,0.046632124352331605,0.2935740612146787,10499.0,0.027962094794988467,4,3999.0,1.5,1.0,1.75,0.0,0.0
1039,3,0.3402061855670103,0.045662100456621,0.2945440851103893,10005.0,0.029439685724208256,4,1255.0,2.0,1.5,2.0,0.0,0.0
1039,4,0.3402061855670103,0.045662100456621,0.2945440851103893,9680.0,0.030428104822550053,4,930.0,2.0,1.5,2.0,0.0,0.0
1057,0,0.3402061855670103,0.046632124352331605,0.2935740612146787,13657.666015625,0.02149518368538466,4,616.0,3.0,2.0833332538604736,3.3333334922790527,0.0,0.0
1057,1,0.3402061855670103,0.046632124352331605,0.2935740612146787,14165.666015625,0.020724337293179414,4,3999.0,2.25,1.5833332538604736,2.8333334922790527,0.0,0.0
1057,2,0.3402061855670103,0.045662100456621,0.2945440851103893,16047.666015625,0.01835432432786666,5,381.0,3.0,2.3333332538604736,3.3333334922790527,0.0,1.0
1057,3,0.3402061855670103,0.046632124352331605,0.2935740612146787,13961.666015625,0.021027149615166264,4,1545.0,2.75,2.0833332538604736,3.0833334922790527,0.0,0.0
1057,4,0.3402061855670103,0.046632124352331605,0.2935740612146787,13674.666015625,0.021468461416956918,4,8.0,3.0,2.3333332538604736,3.3333334922790527,0.0,0.0
1060,0,0.3402061855670103,0.045662100456621,0.2945440851103893,15582.333984375,0.018902435700794515,4,7999.0,1.0,1.1666667461395264,3.1666665077209473,0.0,0.0
1068,0,0.3402061855670103,0.045662100456621,0.2945440851103893,13966.6669921875,0.021089073304752983,4,5800.0,1.0,2.0,1.6666667461395264,0.0,0.0
1074,0,0.3402061855670103,0.046632124352331605,0.2935740612146787,10326.0,0.02843056680070811,4,76.0,2.75,1.75,1.75,0.0,0.0
1074,1,0.3402061855670103,0.045662100456621,0.2945440851103893,12724.0,0.023148700248482323,5,474.0,2.75,1.75,1.75,0.0,1.0
